0,72
1,170
2,31
3,30
4,24
5,15
6,13
7,7
8,18
9,10
10,7
11,7
12,8
13,8
0,4
1,33
2,20
3,16
4,11
5,16
6,13
7,22
8,25
9,17
10,23
11,11
12,11
13,20
0,353
1,111
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,87
1,119
2,59
3,26
4,16
5,9
6,6
7,3
8,2
9,5
10,2
11,2
12,0
13,0
0,245
1,169
2,41
3,8
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,25
1,51
2,32
3,52
4,47
5,30
6,29
7,24
8,16
9,6
10,12
11,5
12,2
13,0
0,290
1,169
2,5
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,36
1,74
2,65
3,56
4,33
5,27
6,13
7,7
8,7
9,10
10,4
11,2
12,0
13,2
0,210
1,247
2,7
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,49
1,142
2,98
3,38
4,4
5,5
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,233
1,231
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,41
1,132
2,69
3,29
4,14
5,9
6,2
7,6
8,18
9,10
10,4
11,2
12,0
13,0
0,233
1,231
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,41
1,132
2,69
3,29
4,14
5,9
6,2
7,6
8,18
9,10
10,4
11,2
12,0
13,0
0,233
1,231
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,41
1,132
2,69
3,29
4,14
5,9
6,2
7,6
8,18
9,10
10,4
11,2
12,0
13,0
0,230
1,234
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,38
1,119
2,60
3,31
4,13
5,12
6,5
7,13
8,20
9,15
10,7
11,2
12,1
13,0
0,55
1,126
2,21
3,18
4,21
5,15
6,18
7,14
8,24
9,13
10,13
11,8
12,13
13,13
0,4
1,28
2,19
3,10
4,7
5,15
6,10
7,20
8,24
9,20
10,23
11,17
12,14
13,24
0,54
1,128
2,20
3,15
4,20
5,18
6,16
7,14
8,28
9,13
10,13
11,8
12,12
13,12
0,4
1,28
2,19
3,10
4,7
5,14
6,11
7,20
8,24
9,20
10,23
11,17
12,14
13,24
0,366
1,98
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,318
1,13
2,3
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,366
1,98
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,318
1,13
2,3
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,230
1,234
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,38
1,119
2,60
3,31
4,13
5,12
6,5
7,13
8,20
9,15
10,7
11,2
12,1
13,0
0,230
1,234
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,38
1,119
2,60
3,31
4,13
5,12
6,5
7,13
8,20
9,15
10,7
11,2
12,1
13,0
0,230
1,234
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,38
1,119
2,60
3,31
4,13
5,12
6,5
7,13
8,20
9,15
10,7
11,2
12,1
13,0
0,230
1,234
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,38
1,119
2,60
3,31
4,13
5,12
6,5
7,13
8,20
9,15
10,7
11,2
12,1
13,0
0,230
1,234
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,38
1,119
2,60
3,31
4,13
5,12
6,5
7,13
8,20
9,15
10,7
11,2
12,1
13,0
0,366
1,98
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,318
1,13
2,3
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,346
1,118
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,211
1,65
2,16
3,9
4,4
5,5
6,3
7,10
8,9
9,3
10,1
11,0
12,0
13,0
