0,17,0,0,55
1,98,33,0,39
2,0,9,0,22
3,0,8,0,22
4,0,8,0,16
5,0,3,0,12
6,0,6,0,7
7,0,4,0,3
8,0,4,0,14
9,0,2,0,8
10,0,2,0,5
11,0,2,0,5
12,0,1,0,7
13,0,1,0,7
0,0,0,0,4
1,13,5,0,15
2,3,3,0,14
3,1,6,0,9
4,1,4,0,6
5,0,2,0,14
6,0,3,0,10
7,0,2,3,17
8,0,1,15,9
9,0,0,10,7
10,0,2,6,15
11,0,0,3,8
12,0,3,2,6
13,0,1,2,17
0,17,0,0,336
1,98,3,0,10
0,0,0,0,87
1,13,3,0,103
2,3,1,0,55
3,1,3,0,22
4,1,0,0,15
5,0,1,0,8
6,0,0,0,6
7,0,0,0,3
8,0,0,0,2
9,0,0,1,4
10,0,1,1,0
11,0,0,2,0
0,17,0,0,228
1,98,8,0,63
2,0,4,0,37
3,0,1,0,7
4,0,0,0,1
0,0,0,0,25
1,13,5,0,33
2,3,3,0,26
3,1,6,0,45
4,1,4,0,42
5,0,2,0,28
6,0,2,0,27
7,0,1,0,23
8,0,0,5,11
9,0,0,2,4
10,0,1,4,7
11,0,0,2,3
12,0,0,0,2
0,17,0,0,273
1,98,6,0,65
2,0,1,0,4
0,0,0,0,36
1,13,5,0,56
2,3,3,0,59
3,1,6,0,49
4,1,2,0,30
5,0,1,0,26
6,0,0,0,13
7,0,0,0,7
8,0,0,2,5
9,0,0,2,8
10,0,1,3,0
11,0,0,2,0
13,0,0,0,2
0,17,8,0,185
1,98,77,0,72
2,0,5,0,2
0,0,0,0,49
1,13,40,0,89
2,3,41,0,54
3,1,30,0,7
4,1,2,0,1
5,0,2,0,3
0,17,14,0,202
1,98,76,0,57
0,0,0,0,41
1,13,38,0,81
2,3,21,0,45
3,1,11,0,17
4,1,6,0,7
5,0,3,0,6
6,0,0,0,2
7,0,0,3,3
8,0,2,15,1
9,0,3,7,0
10,0,0,4,0
11,0,2,0,0
0,17,14,0,202
1,98,76,0,57
0,0,0,0,41
1,13,38,0,81
2,3,21,0,45
3,1,11,0,17
4,1,6,0,7
5,0,3,0,6
6,0,0,0,2
7,0,0,3,3
8,0,2,15,1
9,0,3,7,0
10,0,0,4,0
11,0,2,0,0
0,17,14,0,202
1,98,76,0,57
0,0,0,0,41
1,13,38,0,81
2,3,21,0,45
3,1,11,0,17
4,1,6,0,7
5,0,3,0,6
6,0,0,0,2
7,0,0,3,3
8,0,2,15,1
9,0,3,7,0
10,0,0,4,0
11,0,2,0,0
0,17,11,0,202
1,98,79,0,57
0,0,0,0,38
1,13,38,0,68
2,3,17,0,40
3,1,10,0,20
4,1,5,0,7
5,0,3,0,9
6,0,1,0,4
7,0,2,3,8
8,0,1,15,4
9,0,1,10,4
10,0,0,6,1
11,0,0,2,0
12,0,1,0,0
0,17,4,0,34
1,98,16,0,12
2,0,8,0,13
3,0,1,0,17
4,0,2,0,19
5,0,3,0,12
6,0,3,0,15
7,0,1,0,13
8,0,1,0,23
9,0,0,0,13
10,0,0,0,13
11,0,0,0,8
12,0,1,0,12
13,0,2,1,10
0,0,0,0,4
1,13,0,0,15
2,3,2,0,14
3,1,0,0,9
4,1,0,0,6
5,0,1,0,14
6,0,0,0,10
7,0,0,3,17
8,0,0,15,9
9,0,0,13,7
10,0,1,7,15
11,0,1,8,8
12,0,0,8,6
13,0,0,7,17
0,17,3,0,34
1,98,18,0,12
2,0,7,0,13
3,0,1,0,14
4,0,2,0,18
5,0,3,0,15
6,0,3,0,13
7,0,1,0,13
8,0,2,0,26
