ra,dec,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,source_id
241.1446605458399,-56.3422246970087,16.009726,7438.003264333609,2.992335478036356,400,5836217448448452352
245.94218970223997,15.021309491808623,20.724897,96.69120517950435,0.6946763541021427,400,4464132489988690048
307.6526888171216,-40.003854545361776,16.9439,3146.2019991824945,1.9124974411297164,400,6680733186962694272
241.126803198988,-56.42442548744992,17.635725,1663.6293609057768,1.419947721409317,400,5836216585054458112
240.52074853328875,-56.353965970338315,17.714945,1546.5662347198174,1.7095569896957674,400,5836226759911156864
240.70259206216028,-56.29761266231098,15.500652,11887.359762365038,3.3241100926434646,400,5836227825090752768
240.5867954616038,-56.35045923031908,15.867163,8481.667853861687,3.860934784819826,400,5836226622499713920
151.31351642196242,-46.70217755711169,18.624697,669.0637605846657,1.207920960741712,400,5408434303316115712
224.97641733348618,-67.06888106822291,15.153623,16364.298154983095,4.5674298433071066,400,5800602857998486784
240.61972087310707,-56.414866927756314,19.068605,444.5328593197965,0.8551258461202526,400,5836225587330892544
240.89024478124003,-56.185833787743604,18.611,677.5581112331515,0.9877170865273445,400,5836223049055137792
240.88929975167082,-56.405819742792424,19.571215,279.80837628069685,2.0243668535814443,400,5836214424754933760
241.06647757819616,-56.27894281102602,19.328407,349.93205709440736,0.748066821510761,400,5836218651006890624
245.5767907428587,14.916968923877802,20.163616,162.14358983395735,0.7817529905753633,400,4464034697878629760
240.83540264285574,-56.36973711016597,17.704464,1561.5669690010402,1.3011779625772513,400,5836215455546191744
240.8421661373869,-56.23534130877503,18.190447,998.0848368501021,1.1426282044036866,400,5836222396251379328
240.50993788033006,-56.18042244080037,16.277737,5811.010337894474,3.0162484102683433,400,5836233150850795008
240.58849983414265,-56.12436704677812,16.557676,4490.303305898951,3.872202076263352,400,5836232979052144512
240.97267781555936,-56.35622237751619,19.822645,221.96673850124833,1.4148491895507305,400,5836215043228883200
240.95159294986948,-56.11336263368243,18.362045,852.1733224646331,1.0953535825454215,400,5836225106286145152
241.0631874280714,-56.189481541018374,18.876545,530.5521905794585,0.93181382412342,400,5836223564451866240
240.62533520255428,-56.193100934705186,19.34631,344.20932935892773,0.8542499169074315,400,5836232493638824192
240.72998943094663,-56.29799404434223,19.57281,279.39735041079837,0.7898597599840744,400,5836227721983636736
307.540156668884,-40.35939428834631,19.372845,335.8987779856249,0.8709043919960181,400,6680709513102175744
246.25230779747,15.508361132402653,18.955244,493.45655016273895,3.396958742967089,400,4464175263568281472
240.9735239742194,-56.22049589517888,19.331429,348.95908134325737,1.8616966785487148,400,5836222705457094912
224.41614894717137,-67.0807994582345,16.432047,5041.123051693289,2.4346294840838834,400,5800593134189821312
240.94500613157464,-56.35013949705487,18.864946,536.2503630955805,0.9005215014206042,400,5836215077588841856
246.589017776023,15.192630073267374,20.176523,160.2274489014823,0.7840216858672067,400,4464104516866606592
295.49094635445994,25.535411709999085,14.648816,26050.735158722444,7.0125055925748665,400,2021669285546381952
224.50101636346824,-67.04885237024398,16.23292,6055.895155388091,2.7036587348909666,400,5800594749097560704
240.69941279721328,-56.35363051606854,19.166534,406.1928929631215,0.9492749307598455,400,5836226072715735424
240.6561273995801,-56.37118115724352,15.976337,7670.278832311368,4.642728355136553,400,5836226141463318784
241.1210366998757,-56.22152681726507,19.35043,342.90528293876775,0.8115239009397178,400,5836220330290992640
307.5404723337781,-40.49732800255655,18.4477,787.5278912015145,1.1645144611025575,400,6680707455814251008
240.89147035093583,-56.211961493989314,18.270544,927.1051387766311,1.1112877533378034,400,5836222911647462144
240.81355621071884,-56.13126376489037,19.739075,239.7268469499443,0.7223068786915522,400,5836235143693890176
307.47156369320624,-40.75992481408892,16.542303,4554.333570537871,18.52609136235406,400,6680676806927581824
240.9403559490521,-56.30342936565128,19.874401,211.63437018917006,0.8565271146793814,400,5836221227987496320
307.39789196673155,-40.715107003257636,17.705229,1560.4675025502056,1.5511185953078326,400,6680678146957381376
240.75838844525973,-56.3330704174889,19.766788,233.68496973055935,0.8348299265760075,400,5836227550184489216
240.8578568434971,-56.22296765090708,19.77318,232.31350374459217,0.7346908609442475,400,5836222499330602240
240.72515234389328,-56.34289956482414,19.955046,196.48425695305912,0.7041720461160412,400,5836226038356018816
224.6677105201551,-67.14483826146133,16.967485,3078.5915503102387,1.8214446676684268,400,5800581550632737536
225.03424106488168,-67.04682665716678,16.769772,3693.4967973234925,2.15724736338125,400,5800602995437460736
240.70987454528495,-56.20376428781482,19.335655,347.603505163865,0.771117692774648,400,5836229405612135040
246.37397232174254,15.187550598892512,15.019306,18519.274206668186,4.931894917699821,400,4464118402497380608
240.94013942678916,-56.267982867085614,14.418599,32203.776133790136,6.067146642039312,400,5836221434178739200
151.5460102777476,-46.290908246644705,17.508566,1870.338058091831,1.5916193318840166,400,5408470350983076096
295.498846979738,25.524272308481883,18.111128,1073.729499201183,1.279003932596186,400,2021668529623384704
307.4880763531842,-40.36325178191491,17.298246,2270.113589763162,1.5579072618929823,400,6680721161053479040
240.8805983967334,-56.218036981038374,19.008759,469.7238366455466,0.9435954889443854,400,5836222533658808192
224.94054342975045,-67.13388039253046,16.4648,4891.324831592517,2.263988990439717,400,5800601513640746496
240.90308192125008,-56.18677130107772,18.217503,973.5203345789203,1.8193385540422606,400,5836223049055090432
240.61221591210796,-56.37548659817764,16.845879,3443.4594147594316,2.1840333835106067,400,5836225797865949568
241.1788569257926,-56.42267974752451,18.068607,1116.6154647820965,1.2127212954742677,400,5836216550696271744
